time1,Left0,Left1,Left2,Left3,Left4,time2,Right0,Right1,Right2,Right3,Right4
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1023,1019,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1023,1019,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1013,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1016,1017
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1022,1017,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1022,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1022,1017,1016
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1018,1023,1005,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1021,1017,1018
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1017
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1023,1023,1022,1017,1012
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1017,1023,1004,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1021,1023,1022,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1016
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1023,1017,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1005,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1016,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1023,1015,1023,1004,1023,188.0,1023,1023,1020,1018,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1020,1018,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1022,1023,1022,1016,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1015,1023,1006,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1021,1015,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1022,1023,1023,1017,1015
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1023,1022,1017,1014
188.0,1022,1014,1023,1005,1023,188.0,1023,1022,1022,1017,1014
